,segment,sentiment,id
0,"The project identified an overall project outcome: UN transition processes at Headquarters  and in the field are more efficient with reduced transaction costs, and more effective through better  support to host countries. ",positive,0
1,"It subsequently identified four outputs: • The transition process in Liberia, Burundi, Cote d’Ivoire and DRC well managed including  through the use of integrated coordination mechanisms, and the UN team positioned to  implement medium and long-term peace consolidation activities;  • Transition planning and management capacities of UN leadership and staff strengthened; • Integration of transition-related lessons and best practices into guidance; and  • Briefings to Member States consistently include references to UN transition guidelines,  principles, lessons learned, and good practices.",positive,1
2,"In its spirit and function it is thus in line with the thinking of the new Secretary- General (SG), as well as the recommendations of the Report of the High-Level Independent Panel on  Peace Operations (HIPPO, 2015) and the Report of The Advisory Group of Experts for the 2015 Review  of The United Nations Peacebuilding Architecture (AGE, 2015), which call for more integrated  responses across the political, security and development pillars. ",positive,2
3,There is empirical evidence that technical and operational support to UN transitions in the field  is relevant and effective.,positive,3
4,"Learning from such support has been beneficial to those involved, particularly  at country level.",positive,4
5,"The project was timely and has helped raise awareness that support to transitions increase the  likelihood that they run smoother, experience less resistance and increase sustained support to  peacebuilding in country - laying the ground for future sustainable development.",positive,5
6,"In particular its support through Transition Specialists (TS), surge capacity and expert field visits  has led to concrete results such as the elaboration of transition plans and other documents that  support transitions.",positive,6
7,"Such support has been catalytic in drawing attention to, and enabling the  conversation on, transitions both from a planning and a programmatic perspective.",positive,7
8,"At times it has been challenging to find the right capacity to support countries and deploy TS  in a timely manner, but the project team managed to find alternatives to ensure that support to the  transition planning would not slow down.",positive,8
9,Through its different activities the project has contributed to raising awareness and facilitating  discussions on the need to start planning for transitions at an early stage and respond to or anticipate  Security Council resolutions. ,positive,9
10,Training courses and capacity building efforts have been relevant and useful to increase transition-related expertise in the organization.,positive,10
11,"They created a first level of critical mass within the UN  where staff and management acquire knowledge and skills, which they can apply to improving  transition planning and tackle the challenges inherent in transition planning. ",positive,11
12,"Project implementation has been flexible and the project steering committee, in consultation  with the project management team, has adapted the project to adjust to challenges and opportunities.",positive,12
13,The project management team has adequately fulfilled its tasks and has been flexible in responding to  the demands from countries and Headquarters.,positive,13
14,"The advisory role of project staff and TSs have raised awareness of the complexity of UN  transitions as a process (political, operational and technical) and reduced the perception that UN  transitions equal a ‘handover’ between mission and the UNCT. ",positive,14
15,"There are, however, gender sensitive elements in transition plans. ",positive,15
16,"ICRRP is highly relevant to the needs of the vulnerable groups, particularly IDPs, Syrian refugees and  returnees as well as the host communities affected by the 2014 crisis.",positive,16
17,ICRRP relevance is confirmed by its  contribution to national priorities and to Kurdistan Regional Government (KRG)’s Vision 2020.,positive,17
18,"It is aligned  with the 2016-2020 Country Programme Document (CPD) outcomes, UNDAF (2015-2019) objectives and  with the new UNDP Strategic Plan (2018-2022), which all call for strengthening resilience and safe return  of IDPs in newly liberated areas. ",positive,18
19,"ICRRP contributes also to Sustainable Development Goals (SDG),  particularly Goal 5 and Goal 16. ",positive,19
20,"The theory of change developed for ICRRP is consistent in linking the various components/activities of the  programme to outputs, outcome and impact. ",positive,20
21,ICRRP was effective in supporting JCMC and JCC to improve the quality of reports in crisis prevention  and response.,positive,21
22,"The quality of JCMC and JCC reports improved tremendously in recent years thanks to the theoretical and practical training received from well-known international training centres and the daily  coaching from UNDP advisers and experts (Surge experts), as well as due to the enthusiasm, motivation  and commitment of the staff",positive,22
23,The Federal and Regional governments (Baghdad and Erbil) highly  appreciated the updated information and the reports which were prepared upon requests from JCMC and  JCC. ,positive,23
24,"ICRRP was effective in supporting the promotion of dialogue, coordination and cooperation between JCMC  and JCC, among governorate offices of these two institutions, as well as with national and international  organizations.",positive,24
25,Such coordination and cooperation resulted in better crisis response management. ,positive,25
26,"Substantial progress was made by JCMC and JCC at the legal, institutional and risk-information system for  crisis prevention and management.",positive,26
27,"Draft laws were prepared by both institutions, while JCC succeeded in  having the Ministry of Interior- Kurdistan Regional Government adopt a gender policy. ",positive,27
28,"ICRRP was effective in developing the capacity of staff of JCMC and JCC in various areas of crisis response  and coordination, in addition to awareness raising on gender issues and women empowerment. ",positive,28
29,The combination of theoretical and practical training was determinant in enhancing the skills of the participants. ,positive,29
30,"A total of 7.9 million people from host communities, IDP, refugees and returnees benefitted from basic  services projects funded by ICRRP interventions in Kurdistan Region of Iraq (KRI) and Newly Liberated  Areas (NLAs) during the period 2014-2018, with almost 62% of beneficiaries being in the KRI. ",positive,30
31,"ICRRP was effective in engaging concerned districts, government agencies, and governor’s office in the  selection and prioritization of basic services projects.",positive,31
32,"IDPs, refugees and host communities expressed high satisfaction with the basic services projects.",positive,32
33,"The two  roads that were rehabilitated and paved in Erbil and Duhok resulted in socio-economic benefits in terms of  easier access to agricultural farms, to students, merchants, workers and health services. ",positive,33
34,The  initiative taken by one of the NGOs was to complement the grant with micro-credit proved to yield better  results for the beneficiaries.,positive,34
35,"ICRRP was effective in enhancing the employability of IDPs, refugees, returnees and host communities  through wage-employment by matching the demand of jobs from the private sector with the needed skills. ",positive,35
36,High retention rate was achieved during the first year of job placement.,positive,36
37,"ICRRP was effective in the creation of short-term employment for IDP, refugees, returnees and host  communities, though the percentage of females in total employment related to cash for work was low due  to the nature of the infrastructure projects.",positive,37
38,Beneficiaries were generally satisfied with the temporary work  which resulted in the improvement of their living conditions. ,positive,38
39,"ICRRP was effective in supporting vulnerable communities particularly women who are at risk of GBV  through various supporting mechanisms including the Directorate of Combating Violence Against Women (DCVAW) of the KRG, shelters for women and community centers.",positive,39
40,"Capacity building of these institutions  were carried out to support legal aid services, awareness campaigns in IDP and refugees’ camps. ",positive,40
41,Beneficiaries expressed high satisfaction with the support provided. ,positive,41
42,"ICRRP was effective in enhancing the capacity of key partners (NGOs, Iraqi universities) in the design of  the methodology and the preparation of comprehensive assessments on the existing tensions and conflicts  in targeted areas.",positive,42
43,"ICRRP was effective in enhancing the capacity of stakeholders in peacebuilding education with significant  results achieved: change in the culture and attitudes of academics towards the importance of the promotion  of peace, increased motivation among students to promote peace by working as volunteers, increased role  of religious leaders in combating extremism, enhanced capacity and visibility of Duhok University,  establishment of the undergraduate Department of Peace and Human Rights Studies at Duhok University,  and the establishment of the Iraqi Universities Consortium for Peace Education. ",positive,43
44,"Social cohesion and reconciliation through dialogue and peace education were strengthened through the  creation of platforms and the implementation by capacitated NGOs and youth of community-based  initiatives which were effective in addressing and solving sources of conflicts and tensions, including ethnic  and tribal conflicts.",positive,44
45,UNDP was quick in responding to urgent needs.,positive,45
46,"ICRRP efficiency was enhanced through integrating monitoring, knowledge management and risk  management in programme implementation as well as in the development of an Information Management  10 tool as a means for a continuous monitoring of the projects in close coordination with UNDP Area based teams.",positive,46
47,JCMC and JCC acquired the  adequate institutional structures that would allow them to achieve sustainability. ,positive,47
48,"The sustainability of the peace education work has been achieved by the integration of  peace education syllabus into the academic programmes of partner universities, a result of which the  Ministry of Higher Education and Scientific Research has a strong ownership. ",positive,48
49,"ICRRP has not contributed only to the improvement of the livelihoods of IDPs, refugees, returnees and host  communities, but also it had impact on the changes of the quality of life of beneficiaries in terms of having a respected place in the society, increased networking, self-esteem and self-confidence.",positive,49
50,The impact was  particularly felt by women who became more independent and respected by the family. ,positive,50
51,The work under  social cohesion and gender protection components has brought about changes in awareness of beneficiaries  at the community level. ,positive,51
52,Appointing advisers/experts to the JCMC and JCC to coach staff on daily basis helped the learning  process and achieve quicker results ,positive,52
53,"Enhanced ownership of both JCMC and JCC resulted in increased motivation of staff and led both  institutions to take initiatives in crisis response and coordination and to produce reports to decision-makers, capitalizing on the capacity building support provided by UNDP ",positive,53
54,"Supporting the salary of beneficiaries for a period of three months in job placement motivated the private  sector firms to recruit the workers through the NGOs, as the workers can get the skills and experience,  through on-the-job training during such a period,",positive,54
55,Such support resulted in high job retention rate,positive,55
56,"NGOs were more successful in raising awareness of issues related to GBV when combining such  awareness with other interventions, such as literacy education, vocational training, sports, etc.…",positive,56
57,Increasing number of youth became volunteers in the promotion of peace due to the motivation acquired  through peace education ,positive,57
58,"The project “Support for Innovation against Corruption: Building a Citizen Centric Service  Delivery Model in Albania” (implementing period August 2014- December 20191 ), hereinafter  referred to in this report as the “ISDA Support Project” has assisted the take-off of the  Albanian’s government efforts to improve access to public services and the quality and  efficiency in their delivery, through citizen-centric innovation and use of technology. ",positive,58
59,"Specifically, the project was positioned from the onset to provide key contributions to reform  design, implementation, public outreach and monitoring.",positive,59
60,"As a technical assistance instrument, it  has helped in the mobilization and disbursement of the large-scale World Bank assistance for the  reform. ",positive,60
61,"Reforming the public service delivery through a citizen-centric approach represents the  government’s determination to improve service access and quality for citizens and businesses  and increase efficiency in the Albanian public administration as a mean to strengthen the rule of  law and fight against corruption, to foster a customer-care culture, to strengthen compliance with  the EU integration agenda, and align with the commitments under Southeastern Europe regional  initiatives and the UN Sustainable Development Goals. ",positive,61
62,"During its implementation, the ISDA Support Project has followed two substantial revisions  which have ensured the impact of the project based on the development challenges and the needs  of the country in advancing the public service delivery. ",positive,62
63,"In this regard, the second revision of the  project in 2018 continued to support the Albanian government on the standardization and re- engineering of service delivery processes in Albanian central government institutions; strengthening the adoption of customer care standards in the delivery of public services by  government institutions; continuous assistance to ADISA to ensure its sustainability; quality  assurance and performance monitoring based on the established standards; promoting innovative  solutions; ensure nationwide access to citizens throughout Albania to central government  services provided under customer care standards through ADISA’s regional offices and  colocation and boost the use of innovation and IT.",positive,63
64,"Fully in line with UN’s Albania Programmes of Cooperation for Sustainable Development  (2012-2016 and 2017-2021), the project firmly succeeded to support the Government’s strategy  on public service delivery, to establish a coordination and monitoring frame for the  implementation of the reform, to expand the service delivery in different regions/municipalities of Albania and to offer inclusiveness, equity and access to services for citizen based on best  practices and know-how for innovative service provision.",positive,64
65,The ISDA Support Project was  successfully implemented in accordance with its project design and its intent.,positive,65
66,"Based on its achievements, (from policy to expert technical support), the ISDA Support Project has been coherent by responding step by step to the needs and challenges and its impact is  increased over the years.",positive,66
67,"Regardless of the government changes and changes to the government  institution in charge for the implementation of the public administration reform, there has been  no substantial negative impact in the implementation of the project and on the level of  cooperation between the government institutions and the project management.",positive,67
68,"This confirms  again the effectiveness of the project, its coherency, effective management and the vision of the  UNDP and sustainable cooperation with the state institutions.",positive,68
69,The project design is sound and relevant.,positive,69
70,It has achieved the expected results and the related  outcomes.,positive,70
71,"Being clearly focused on the areas of intervention, the project has achieved to build  close cooperation with the government institutions at central and local level as well as the other  stakeholders.",positive,71
72,The project has been also effective and successful in its  outreach and communication activities to raise awareness about the public service delivery to the  general public.,positive,72
73,"In addition, the project has produced many attractive designed flyers, leaflets and  publications. ",positive,73
74,"Involvement of stakeholders: The project is a good example of effective and participatory  involvement of stakeholders such as the reform leading institution (the Deputy Prime Minister  Office-Acting as the leading institution of the public service delivery reform and at the same  time as the National Implementing Partner, on behalf of the Government of Albania for the  ISDA Support Project); ADISA – the main state agency and the main target of assistance for the  project in terms of institutional and operational capacity building; other state institutions, the  donors community, the civil society actors involved also in monitoring research activities and  citizens. ",positive,74
75,"The overall project’s approach relies on the principles of equal and fair treatment for all  beneficiaries, while paying special attention to the economically disadvantaged, the elderly,  women, persons with disabilities, minorities and the rural population. ",positive,75
76,"Specifically, the project  has paid attention to the gender disaggregated data from the participant’s list from the capacity  building activities, from the “Mystery shopper” and “Trust in governance” opinion polls. ",positive,76
77,"Additionally, in order to better develop the “Leave no-one behind” approach, the project  management made use also of other data gathered from other surveys, such as the national  household surveys in 2016 and 2018 conducted by the World Bank.",positive,77
78,Activities implemented in frame of the project have carefully addressed issues for people with  disabilities such as infrastructure facilities for them. ,positive,78
79,Lately ADISA has designed a video- material targeting blind people aiming to explain the services offered by ADISA- thus  contributing at the inclusiveness of this group as beneficiary of the public services too. ,positive,79
80,"Furthermore, over the past year, the project has contributed also improve the access to public  services of the Roma and Egyptian community in Albania.",positive,80
81,The results achieved so far by the project are very relevant to the Albanian Government national  priority on public service delivery as an important component of the public administration  reform. ,positive,81
82,"Much of the success is due to the relevance of the program, its responsive design, level  of government commitment and effective UNDP and donor coordination. ",positive,82
83,"In terms of relevance, the project presented a straightforward idea that resonated well with  beneficiaries and stakeholders.",positive,83
84,"In its design, it included an ambitious, realistic and complementary approach to initiate and advance the Albanian government efforts on public  service delivery.",positive,84
85,"Overall, the project addressed a complex topic, driven by the domestic demand. ",positive,85
86,The project activities focused on policy formulation and capacity building set ground to the  accountability and professionalism of the responsible institutions to deliver quality public  services focused on citizens. ,positive,86
87,"All project activities were complementary to the Cross-Cutting  Public Administration Reform Strategy (PAR) 2015–2020, UN’s Albania Programme of  Cooperation for Sustainable Development (2017-2021), to the National Strategy for  Development and Integration (NSDI) 2015–2020 and to the Cross-Cutting Strategy “Digital  Agenda for Albania” (DAA) 2015–2020. ",positive,87
88,"In terms of effectiveness and efficiency, overall project objective has been achieved.",positive,88
89,The plan of  activities was delivered on time and with impactful results and outputs.,positive,89
90,"Moreover, project  partners and stakeholders expressed high satisfaction with the project implementation and  commended UNDP for its leadership role. ",positive,90
91,"Internal procedures were clearly-communicated,  protocols were put in place. ",positive,91
92,The project’s approach based on inclusiveness and participatory  manner is one of the added value for the successful implementation.,positive,92
93,The project contribution  was greatest in increased government capacities on public service delivery topic as one of the  most important pillars of the public administration reform in Albania. ,positive,93
94,UNDP has built a sound monitoring and evaluation plan  which has contributed to the assessment of the progress at result level and phasing out strategies. ,positive,94
95,Bold joint synergy with UNDP project STAR II was put in place which produced concrete  results at approaching public services of the central government at local level.,positive,95
96,"The greatest best  practice marked by the stakeholders was the operational and functional support given to ADISA  and its expansion in the country (through collocation and ADISA mobile office), thus offering  better services to the citizens even in remote areas. ",positive,96
97,The credibility of the project is widely perceived and accepted as a model or inspiration of  positive approach and improved trust in the state institutions at central and local level.,positive,97
98,Innovative  approaches are a great contribution too. ,positive,98
99,"Given the ongoing conflict in Afghanistan, a  reasonable job was done. ",positive,99
100,Narrative of the M&E process and M&E plan were generally adequate  except the above omission. ,positive,100
101,"However, progress reporting was  good. ",positive,101
102,UNDP undertook some outcome monitoring visits. ,positive,102
103,Both UNDP and MAIL were successful in delivering hardcore  interventions such as irrigation infrastructure or greenhouses. ,positive,103
104,"After change of leadership in 2015,  MAIL hired a good team for CCAP, improved quantity and quality of  delivery, and used CCAP performance to showcase its capacity in  responding to climate change. ",positive,104
105,"Performance on procurement, human resources, financial management  and audits was satisfactory",positive,105
106,"UNDP worked hard for successful takeoff of the project by providing  support, creating awareness on climate change concepts for all  stakeholders, responding to operational challenges and managing  emerging risks. ",positive,106
107,"UNDP provided motivation and troubleshooting support, facilitation for  coordination and partnerships, quality assurance, and conducted  evaluation studies in time. ",positive,107
108,"Progress reporting was realistic, timely, and shared with all the  stakeholders. ",positive,108
109,CCAP delivered well in reducing vulnerability of women and men but had  moderate success in building adaptive capacity. ,positive,109
110,The project was completed in time given that extension time was  required to spend additional funds.,positive,110
111,Quality of many outputs is  satisfactory.,positive,111
112,Outputs targets were completed within budget. ,positive,112
113,CCAP successfully catalyzed the CCA agenda in the country and resulted  in more funding from GEF. ,positive,113
114,"In line with the LDCF results framework, CCAP has reduced vulnerability  and built adaptive capacity.",positive,114
115,"CCAP contributes to SDG 13 (Climate Action), SDG 8 (Decent Work and  Economic Growth), SDG 2 (Zero Hunger), SDG 5 (Gender Equality), SDG 1  (No Poverty), etc.",positive,115
