sentiment,segment,id
positive,"The project identified an overall project outcome: UN transition processes at Headquarters  and in the field are more efficient with reduced transaction costs, and more effective through better  support to host countries. ",0
positive,"It subsequently identified four outputs: • The transition process in Liberia, Burundi, Cote d’Ivoire and DRC well managed including  through the use of integrated coordination mechanisms, and the UN team positioned to  implement medium and long-term peace consolidation activities;  • Transition planning and management capacities of UN leadership and staff strengthened; • Integration of transition-related lessons and best practices into guidance; and  • Briefings to Member States consistently include references to UN transition guidelines,  principles, lessons learned, and good practices.",1
positive,"In its spirit and function it is thus in line with the thinking of the new Secretary- General (SG), as well as the recommendations of the Report of the High-Level Independent Panel on  Peace Operations (HIPPO, 2015) and the Report of The Advisory Group of Experts for the 2015 Review  of The United Nations Peacebuilding Architecture (AGE, 2015), which call for more integrated  responses across the political, security and development pillars. ",2
positive,There is empirical evidence that technical and operational support to UN transitions in the field  is relevant and effective.,3
positive,"Learning from such support has been beneficial to those involved, particularly  at country level.",4
positive,"The project was timely and has helped raise awareness that support to transitions increase the  likelihood that they run smoother, experience less resistance and increase sustained support to  peacebuilding in country - laying the ground for future sustainable development.",5
positive,"In particular its support through Transition Specialists (TS), surge capacity and expert field visits  has led to concrete results such as the elaboration of transition plans and other documents that  support transitions.",6
positive,"Such support has been catalytic in drawing attention to, and enabling the  conversation on, transitions both from a planning and a programmatic perspective.",7
positive,"At times it has been challenging to find the right capacity to support countries and deploy TS  in a timely manner, but the project team managed to find alternatives to ensure that support to the  transition planning would not slow down.",8
positive,Through its different activities the project has contributed to raising awareness and facilitating  discussions on the need to start planning for transitions at an early stage and respond to or anticipate  Security Council resolutions. ,9
positive,Training courses and capacity building efforts have been relevant and useful to increase transition-related expertise in the organization.,10
positive,"They created a first level of critical mass within the UN  where staff and management acquire knowledge and skills, which they can apply to improving  transition planning and tackle the challenges inherent in transition planning. ",11
positive,"Project implementation has been flexible and the project steering committee, in consultation  with the project management team, has adapted the project to adjust to challenges and opportunities.",12
positive,The project management team has adequately fulfilled its tasks and has been flexible in responding to  the demands from countries and Headquarters.,13
positive,"The advisory role of project staff and TSs have raised awareness of the complexity of UN  transitions as a process (political, operational and technical) and reduced the perception that UN  transitions equal a ‘handover’ between mission and the UNCT. ",14
positive,"There are, however, gender sensitive elements in transition plans. ",15
positive,"ICRRP is highly relevant to the needs of the vulnerable groups, particularly IDPs, Syrian refugees and  returnees as well as the host communities affected by the 2014 crisis.",16
positive,ICRRP relevance is confirmed by its  contribution to national priorities and to Kurdistan Regional Government (KRG)’s Vision 2020.,17
positive,"It is aligned  with the 2016-2020 Country Programme Document (CPD) outcomes, UNDAF (2015-2019) objectives and  with the new UNDP Strategic Plan (2018-2022), which all call for strengthening resilience and safe return  of IDPs in newly liberated areas. ",18
positive,"ICRRP contributes also to Sustainable Development Goals (SDG),  particularly Goal 5 and Goal 16. ",19
positive,"The theory of change developed for ICRRP is consistent in linking the various components/activities of the  programme to outputs, outcome and impact. ",20
positive,ICRRP was effective in supporting JCMC and JCC to improve the quality of reports in crisis prevention  and response.,21
positive,"The quality of JCMC and JCC reports improved tremendously in recent years thanks to the theoretical and practical training received from well-known international training centres and the daily  coaching from UNDP advisers and experts (Surge experts), as well as due to the enthusiasm, motivation  and commitment of the staff",22
positive,The Federal and Regional governments (Baghdad and Erbil) highly  appreciated the updated information and the reports which were prepared upon requests from JCMC and  JCC. ,23
