Document group,Document name,Segment,Author,Creation date,Area,Coverage %,sentiment
FAO,FAO_1_2017_Eval,"This also led to confusion  
over the roles and responsibilities of stakeholders and low ownership of some project elements,  
particularly for activities related to rights based management (RBM)",Vytas,02.07.2020 15:46:04,193,0.048768,negative
FAO,FAO_1_2017_Eval,"here have been  
few outcome-level results delivered to date.",Vytas,02.07.2020 15:46:04,60,0.015161000000000001,negative
FAO,FAO_1_2017_Eval,"The delivery of outputs under Component 1  
has been slow, with most effort focused on support for various capacity building and technical  
workshops.",Vytas,02.07.2020 15:46:04,149,0.03765,negative
FAO,FAO_1_2017_Eval,"Delivery of a global set of  
best practices in tuna fisheries MCS, the International MCS Network (IMCSN) tuna subnetwork,  
and the MCS certification course needs greater attention from the Project Management Unit and  
partners if they are to be completed before the end of the Project.",Vytas,02.07.2020 15:46:04,285,0.072016,negative
FAO,FAO_1_2017_Eval,"However, although key  
project positions were filled early, many project initiatives were delayed due to FAO administrative  
processes and requirements. Moreover, some elements of the Project were overly complex and  
resulted in inefficiencies and delays, particularly in relation to the EMS pilot in Ghana.",Vytas,02.07.2020 15:46:04,307,0.077575,negative
FAO,FAO_1_2017_Eval,"here has been little formal lesson learning to date, and the Project does not have an  
adequate framework to capture lessons learned.",Vytas,02.07.2020 15:46:04,133,0.033607,negative
FAO,FAO_1_2017_Eval,"However, there was a lack  
of capacity in some areas, notably communications, and the Project Manager had to split his  
time between two demanding jobs for most of the last year; this negatively impacted decision- 
making and delivery of some project outputs. There was no formal assessment of the Project’s  
implementing partners during the design stage to ensure they had sufficient capacity to deliver  
project interventions. Intra-project communication could also be improved, as ‘silos’ have  
developed in some parts of the Project.",Vytas,02.07.2020 15:46:04,537,0.135692,negative
FAO,FAO_1_2017_Eval,"Although reporting of  
the project budget is an agenda item at every PSC meeting, stakeholders expressed the need for  
increased transparency in the financial reporting from members of the PSC.",Vytas,02.07.2020 15:46:04,193,0.048768,negative
FAO,FAO_1_2017_Eval,"owever, interaction with the private sector has been rather limited. This was  
partly due to a lack of clarity over roles and responsibilities at the onset of the Project for some  
partners and stakeholder groups, with different expectations and understanding of their level of  
engagement in the Project.",Vytas,02.07.2020 15:46:04,305,0.077069,negative
FAO,FAO_1_2017_Eval,"This is  
particularly the case for partner-led activities that do not have clear (project-agreed) end points  
and deliverables.",Vytas,02.07.2020 15:46:04,127,0.032091,negative
FAO,FAO_1_2017_Eval,"Quality and delivery  
could be improved at the operational level.",Vytas,02.07.2020 15:46:04,65,0.016425,negative
FAO,FAO_1_2017_Eval,"ome aspects of the Project have not received sufficient  
attention to date due to lack of available staff time",Vytas,02.07.2020 15:46:04,110,0.027795,negative
FAO,FAO_1_2017_Eval,"There is a need to review the Project’s approach to partnerships, including the mix  
of partners, their roles and responsibilities, and the partnership arrangements.",Vytas,02.07.2020 15:46:04,165,0.041693,negative
