segment,sentiment,embeddings,cluster,x,y
"The delivery of outputs under Component 1 has been slow, with most effort focused on support for various capacity building and technical workshops.",negative,[-1.0653824 -1.5779642  3.2143219],0,8.220170974731445,-7.888443946838379
"Delivery of a global set of best practices in tuna fisheries MCS, the International MCS Network (IMCSN) tuna subnetwork, and the MCS certification course needs greater attention from the Project Management Unit and partners if they are to be completed before the end of the Project.",negative,[-0.1554058  1.1397452 -1.3505304],1,5.308685779571533,9.203248977661133
"However, although key project positions were filled early, many project initiatives were delayed due to FAO administrative processes and requirements.",negative,[-1.8524595 -0.555818   3.0365458],0,13.031242370605469,-5.341643333435059
"However, there was a lack of capacity in some areas, notably communications, and the Project Manager had to split his time between two demanding jobs for most of the last year; this negatively impacted decision- making and delivery of some project outputs.",negative,[-1.0947207 -1.6209245  3.3368342],0,8.216575622558594,-8.3865966796875
"Although reporting of the project budget is an agenda item at every PSC meeting, stakeholders expressed the need for increased transparency in the financial reporting from members of the PSC.",negative,[-2.6086922  1.1610415  1.7375965],0,12.831758499145508,1.3657808303833008
"This was partly due to a lack of clarity over roles and responsibilities at the onset of the Project for some partners and stakeholder groups, with different expectations and understanding of their level of engagement in the Project.",negative,[-1.3891249 -1.48487    3.4161842],0,9.30344581604004,-9.641234397888184
This is particularly the case for partner-led activities that do not have clear (project-agreed) end points and deliverables.,negative,[-1.5329086 -1.1751835  3.4480233],0,11.107531547546388,-9.517660140991213
Quality and delivery could be improved at the operational level.,negative,[-1.6369807 -0.7844421  2.8580263],0,11.721558570861816,-5.371423244476318
"The Project logframe could be streamlined to improve M&E, and there is a need for more targeted communication, outreach and advocacy efforts.",negative,[-2.4986238   0.24893716  2.9806066 ],0,14.688523292541504,-2.4082367420196533
"However, there was limited funding at the design stage which reduced opportunities for stakeholder consultation and involvement.",negative,[-1.5319568 -1.275701   3.4847126],0,10.77934741973877,-9.88413429260254
M&E was challenging due to the large number of poorly formulated indicators and associated targets.,negative,[-1.7314278 -0.8208632  3.27908  ],0,12.94325351715088,-7.331550598144531
"However, ownership of the Project was mixed, particularly during the design stage.",negative,[-1.0847665 -1.5446537  3.2587852],0,8.280865669250488,-8.02357292175293
The Project has developed a large and diverse mix of partners.,negative,[ 1.8243126  -0.55326086 -1.9564583 ],2,-1.9339385032653809,3.917973756790161
"The project did not undertake a gender analysis at the inception phase of the project, or develop a gender strategy or gender action plan in accordance with the latest FAO guidance on gender equality.",negative,[-2.1152167   1.5129261   0.82082427],0,11.65523624420166,3.678403854370117
