segment,sentiment,embeddings,cluster,x,y,id,props
"The delivery of outputs under Component 1 has been slow, with most effort focused on support for various capacity building and technical workshops.",negative,[-1.0653824 -1.5779642  3.2143219],0,8.220170974731445,-7.888443946838379,0,"[0.0168903, 0.005878931, 0.97723085]"
"Delivery of a global set of best practices in tuna fisheries MCS, the International MCS Network (IMCSN) tuna subnetwork, and the MCS certification course needs greater attention from the Project Management Unit and partners if they are to be completed before the end of the Project.",negative,[-0.1554058  1.1397452 -1.3505304],1,5.308685779571533,9.203248977661133,1,"[0.005951857, 0.1228817, 0.87116647]"
"However, although key project positions were filled early, many project initiatives were delayed due to FAO administrative processes and requirements.",negative,[-1.8524595 -0.555818   3.0365458],0,13.031242370605467,-5.341643333435059,2,"[0.011548979, 0.006201102, 0.9822499]"
"However, there was a lack of capacity in some areas, notably communications, and the Project Manager had to split his time between two demanding jobs for most of the last year; this negatively impacted decision- making and delivery of some project outputs.",negative,[-1.0947207 -1.6209245  3.3368342],0,8.216575622558594,-8.3865966796875,3,"[0.015819184, 0.0057167974, 0.978464]"
"Although reporting of the project budget is an agenda item at every PSC meeting, stakeholders expressed the need for increased transparency in the financial reporting from members of the PSC.",negative,[-2.6086922  1.1610415  1.7375965],0,12.831758499145508,1.3657808303833008,4,"[0.012406683, 0.01508928, 0.9725041]"
"This was partly due to a lack of clarity over roles and responsibilities at the onset of the Project for some partners and stakeholder groups, with different expectations and understanding of their level of engagement in the Project.",negative,[-1.3891249 -1.48487    3.4161842],0,9.303445816040039,-9.641234397888184,5,"[0.011245165, 0.0058041336, 0.9829506]"
This is particularly the case for partner-led activities that do not have clear (project-agreed) end points and deliverables.,negative,[-1.5329086 -1.1751835  3.4480233],0,11.107531547546387,-9.517660140991213,6,"[0.004787404, 0.009884149, 0.9853285]"
Quality and delivery could be improved at the operational level.,negative,[-1.6369807 -0.7844421  2.8580263],0,11.721558570861815,-5.371423244476318,7,"[0.020370414, 0.019771716, 0.9598579]"
"The Project logframe could be streamlined to improve M&E, and there is a need for more targeted communication, outreach and advocacy efforts.",negative,[-2.4986238   0.24893716  2.9806066 ],0,14.688523292541506,-2.4082367420196533,8,"[0.007159524, 0.16054338, 0.832297]"
"However, there was limited funding at the design stage which reduced opportunities for stakeholder consultation and involvement.",negative,[-1.5319568 -1.275701   3.4847126],0,10.77934741973877,-9.884134292602539,9,"[0.014578969, 0.0061708256, 0.97925025]"
