,segment,sentiment
0,the delivery of output under component 1 have be slow with most effort focus on support for various capacity building and technical workshop,negative
1,delivery of a global set of good practice in tuna fishery mcs the international mcs network imcsn tuna subnetwork and the mcs certification course need great attention from the project management unit and partner if -PRON- be to be complete before the end of the project,negative
2,however although key project position be fill early many project initiative be delay due to fao administrative process and requirement,negative
3,however there be a lack of capacity in some area notably communication and the project manager have to split -PRON- time between two demand job for most of the last year this negatively impact decision- making and delivery of some project output,negative
4,although reporting of the project budget be an agenda item at every psc meeting stakeholder express the need for increase transparency in the financial reporting from member of the psc,negative
5,this be partly due to a lack of clarity over role and responsibility at the onset of the project for some partner and stakeholder group with different expectation and understanding of -PRON- level of engagement in the project,negative
6,this be particularly the case for partner lead activity that do not have clear project agree end point and deliverable,negative
7,quality and delivery could be improve at the operational level,negative
8,the project logframe could be streamline to improve m&e and there be a need for more target communication outreach and advocacy effort,negative
9,however there be limited funding at the design stage which reduce opportunity for stakeholder consultation and involvement,negative
10,m&e be challenge due to the large number of poorly formulate indicator and associated target,negative
11,however ownership of the project be mixed particularly during the design stage,negative
12,the project have develop a large and diverse mix of partner,negative
13,the project do not undertake a gender analysis at the inception phase of the project or develop a gender strategy or gender action plan in accordance with the late fao guidance on gender equality,negative
14,while there be good potential for the sustainability of some project result e.g. fao be source funding to promote the port state measure template and catch documentation scheme implementation ongoing financial and institutional support be unclear for many activitie,negative
15,this limit the potential for cross- programme learning and coordination of approach,negative
16,furthermore the training of facilitator and long term engagement be inadequate the ongoing provision of free input to demonstration farmer be questionable the programme give limited emphasis to environmentally sustainable agricultural technique and target support for the poor and landless be lack,negative
17,however there be continue provision of free input under project 011 beyond the time period within which this be justify,negative
18,partnership with government be strong at local level than at national level and this may have compromise the capacity of the project to influence the wide policy and enable environment,negative
19,furthermore there be rather limited attention to empowerment of the poor and landless under this project,negative
20,there be an intentional shift of focus agree between the department of fishery and project management to fishery co management in an area where opportunity for mangrove co management be very limited but this shift be not reflect in a revised logframe and render the original logframe largely irrelevant as a project management and monitoring and evaluation tool,negative
21,the component project 010 011 and 012 be independently design with separate logical framework and reporting procedure,negative
22,project 010 be implement in a geographic area wherein the original rationale and logic could not apply and the focus be shift from mangrove co management to fishery co- management,negative
23,the theory of change of 012 be weak and this be reflect in some ad hoc intervention and a lack of strategy in implementation,negative
24,all three logframe be weak in term of define the ambition and approach of the programme to build strong sustainable community base organization and in term of target the poor member of society,negative
25,there be some limitation in term of target the most vulnerable member of society and in particular the landless under project 011,negative
26,however there be significant internal and external threat to -PRON- long term survival and more could have be do to address -PRON-,negative
27,the programme could nonetheless have integrate other drr measure more effectively into -PRON- activity such as integrate shelter with collection centre construction,negative
28,however the extent to which this occur be constrain by the specificity of earmark by some resource partner,negative
29,the quality of monitoring and reporting be mix at the project level and weak at the programme level,negative
30,the limited understanding and generally low profile of the fmm among stakeholder be reduce interest among potential new resource partner,negative
31,decision make process be ill define and poorly understand,negative
32,sub regional and regional office involvement have be negligible,negative
33,however -PRON- be see as especially problematic within fmm,negative
34,although these seem fairly well establish at the high decision- make level the underlie logic for the selection of fmm proposal within sos be still unclear,negative
35,fmm be not yet operate effectively as a pool programmatic funding mechanism,negative
36,the absence of an fmm logframe and clear operational procedure below the strategic programme leader spl level be confusing for stakeholder and undermine the cost- effectiveness of the selection process of fmm fund initiative,negative
37,mm documentation and reporting procedure be intentionally minimal but still weak at programme level,negative
38,fmm procedure have not be formally document in the same way as other funding instrument,negative
39,much of the work be of a normative nature with country level activity use to validate hq base normative study,negative
40,there be also concern at the operational level express by most strategic programme leader spls and budget holder about the stability and predictability of fmm funding,negative
41,fmm have not be able to deliver a satisfactorily stable or predictable level of funding over a full mtp or even a biennium,negative
